main(770,250).Opcode	main(1950,560).RAM(380,280)[0]	main(1950,560).RAM(380,280)[1]	main(1950,560).RAM(380,280)[2]	main(1950,560).RAM(380,280)[3]	main(1950,560).RAM(380,280)[4]	main(1950,560).RAM(380,280)[5]	main(1950,560).RAM(380,280)[6]	main(1950,560).RAM(380,280)[7]	main(1950,560).RAM(380,280)[8]	main(1950,560).RAM(380,280)[9]	main(1950,560).RAM(380,280)[10]	main(1950,560).RAM(380,280)[11]
00 0101	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1100	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1010	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0000	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0110	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1110	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1100	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1010	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0000	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0110	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1110	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1100	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1010	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0000	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0110	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0000 0000	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0001 1110	0000 0000 0000 0000
00 1110	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0001 1110	0000 0000 0000 0000
00 1100	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0001 1110	0000 0000 0000 0000
00 1010	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0001 1110	0000 0000 0000 0000
00 0000	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0001 1110	0000 0000 0000 0000
00 0110	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0001 1110	0000 0000 0000 0000
00 1011	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0001 1110	0000 0000 0000 0000
00 0101	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0001 1110	0000 1000 0101 0000
00 1110	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0001 1110	0000 1000 0101 0000
00 1100	0000 0000 0000 0101	0000 0000 0000 0111	1111 1111 1111 1110	0000 0000 0010 1000	0000 0000 0100 0001	1111 1111 1110 1001	0000 0000 0001 0001	0000 0100 0000 0000	0000 0000 1000 1100	1111 1111 1110 0000	0000 0000 0001 1110	0000 1000 0101 0000
